File Type,Algorithm,Original Size (bytes),Compressed Size (bytes),Compression Ratio,Space Saved,Compression Time (s),Decompression Time (s),Integrity Check,compression_ratio_float,space_saved_float
Large Text,LZMA (Level 1),1893,1048,0.5536,44.64%,0.001450,0.000126,PASS,0.5536185948230322,0.4463814051769678
Large Text,LZMA (Level 9),1893,1024,0.5409,45.91%,0.032923,0.000132,PASS,0.5409403063919704,0.45905969360802956
Large Text,Zstandard (Level 1),1893,924,0.4881,51.19%,0.000075,0.000038,PASS,0.48811410459587956,0.5118858954041204
Large Text,Zstandard (Level 22),1893,902,0.4765,52.35%,0.000426,0.000012,PASS,0.47649234020073955,0.5235076597992605
Random Binary,LZMA (Level 1),512000,512084,1.0002,-0.02%,0.090372,0.001025,PASS,1.0001640625,-0.0001640624999998952
Random Binary,LZMA (Level 9),512000,512084,1.0002,-0.02%,0.133032,0.000961,PASS,1.0001640625,-0.0001640624999998952
Random Binary,Zstandard (Level 1),512000,512021,1.0000,-0.00%,0.000175,0.000046,PASS,1.000041015625,-4.101562499991829e-05
Random Binary,Zstandard (Level 22),512000,512021,1.0000,-0.00%,0.034499,0.000044,PASS,1.000041015625,-4.101562499991829e-05
Repeating Pattern,LZMA (Level 1),4800,184,0.0383,96.17%,0.000916,0.000040,PASS,0.03833333333333333,0.9616666666666667
Repeating Pattern,LZMA (Level 9),4800,180,0.0375,96.25%,0.029867,0.000056,PASS,0.0375,0.9625
Repeating Pattern,Zstandard (Level 1),4800,100,0.0208,97.92%,0.000031,0.000015,PASS,0.020833333333333332,0.9791666666666666
Repeating Pattern,Zstandard (Level 22),4800,94,0.0196,98.04%,0.000047,0.000005,PASS,0.019583333333333335,0.9804166666666667
